Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,G+A-PK,xG+xAG,Matches
Harry Kane,eng ENG,FW,Bayern Munich,31-260,1993,27,25,2113,23.5,23,8,31,14,9,9,4,0,18.3,11.3,4.3,15.5,25,81,128,0.94,0.96,Matches
Patrik Schick,cz CZE,FW,Leverkusen,29-080,1996,26,15,1344,14.9,17,0,17,17,0,0,4,0,10.6,10.6,0.6,11.2,5,17,92,1.14,0.75,Matches
Tim Kleindienst,de GER,FW,Gladbach,29-226,1995,27,27,2377,26.4,15,5,20,14,1,2,5,1,13.1,11.4,5.2,16.6,40,55,131,0.72,0.69,Matches
Omar Marmoush,eg EGY,FW,Eint Frankfurt,26-066,1999,17,17,1448,16.1,15,9,24,13,2,2,2,0,8.8,7.3,6.2,13.5,73,50,125,1.37,0.94,Matches
Serhou Guirassy,gn GUI,FW,Dortmund,29-033,1996,25,24,2163,24.0,15,2,17,13,2,2,3,0,17.8,16.2,3.7,19.9,16,29,106,0.62,0.89,Matches
Jonathan Burkardt,de GER,FW,Mainz 05,24-277,2000,24,23,1665,18.5,15,2,17,14,1,1,0,0,12.3,11.5,2.7,14.1,25,36,127,0.86,0.81,Matches
Hugo Ekitike,fr FRA,FW,Eint Frankfurt,22-298,2002,28,26,2125,23.6,14,5,19,13,1,3,1,0,19.5,17.2,5.2,22.4,78,43,181,0.76,1.05,Matches
Ermedin Demirović,ba BIH,FW,Stuttgart,27-020,1998,29,18,1620,18.0,13,0,13,13,0,2,2,0,11.6,9.9,1.4,11.3,18,27,98,0.72,0.72,Matches
Jamal Musiala,de GER,MF,Bayern Munich,22-047,2003,25,21,1798,20.0,12,2,14,12,0,0,3,0,9.3,9.3,4.5,13.8,71,107,156,0.70,0.69,Matches
Benjamin Šeško,si SVN,"FW,MF",RB Leipzig,21-318,2003,28,26,2075,23.1,11,5,16,10,1,1,2,1,8.0,7.3,2.0,9.2,39,40,121,0.65,0.43,Matches
